layer,ranking,movie_id,movie_name,cluster_name,character_score,release_score,rating_score,total_score
1,0,4043665651,Isle of Dogs,animal,2.000000,5.000000,4.000000,11.0
1,1,906863827,Ferdinand,animal,2.000000,5.000000,3.350000,10.35
1,2,3195628081,Peter Rabbit,animal,2.000000,5.000000,3.300000,10.3
1,3,5830189854,Benji,animal,2.000000,5.000000,3.200000,10.2
1,4,2038104917,My Little Pony: The Movie,animal,2.000000,5.000000,3.050000,10.05
1,5,1064930444,The Nut Job 2: Nutty by Nature,animal,2.000000,5.000000,2.700000,9.7
1,6,5586056082,Surviving the Wild,animal,1.000000,5.000000,3.100000,9.1
1,7,3562742415,Early Man,animal,1.000000,5.000000,3.050000,9.05
1,8,3493741119,Show Dogs,animal,2.000000,5.000000,1.750000,8.75
1,0,5788135152,Batman Ninja,superhero-star war,2.000000,5.000000,2.850000,9.85
1,1,906668270,The Amazing Spider-Man 2,superhero-star war,2.000000,2.000000,3.300000,7.300000000000001
1,2,1064822848,The Incredibles,superhero-star war,2.000000,1.000000,4.000000,7.0
1,3,1643935809,Megamind,superhero-star war,2.000000,1.000000,3.650000,6.65
1,4,1064822834,Spider-Man 2,superhero-star war,2.000000,1.000000,3.650000,6.65
1,5,4143100030,Spider-Man,superhero-star war,2.000000,1.000000,3.650000,6.65
1,6,904696351,Teen Titans: Trouble in Tokyo,superhero-star war,2.000000,1.000000,3.600000,6.6
1,7,916458940,Monsters vs. Aliens,superhero-star war,2.000000,1.000000,3.250000,6.25
1,8,906201778,Teenage Mutant Ninja Turtles,superhero-star war,2.000000,1.000000,3.150000,6.15
1,0,905187611,Trolls,magic and fantasy characters,2.000000,3.000000,3.250000,8.25
1,1,1065118693,The BFG,magic and fantasy characters,2.000000,3.000000,3.200000,8.2
1,2,915073926,Harry Potter and the Deathly Hallows: Part 2,magic and fantasy characters,2.000000,2.000000,4.050000,8.05
1,3,1640811946,Strange Magic,magic and fantasy characters,2.000000,3.000000,2.900000,7.9
1,4,1355188928,Kubo and the Two Strings,magic and fantasy characters,1.000000,3.000000,3.900000,7.9
1,5,1499453833,Molly Moon and the Incredible Book of Hypnotism,magic and fantasy characters,2.000000,3.000000,2.700000,7.7
1,6,905534329,The Good Witch's Destiny,magic and fantasy characters,2.000000,2.000000,3.600000,7.6
1,7,1644691456,The Good Witch's Wonder,magic and fantasy characters,2.000000,2.000000,3.600000,7.6
1,8,905535332,The Boxtrolls,magic and fantasy characters,2.000000,2.000000,3.400000,7.4
