layer,ranking,movie_id,movie_name,cluster_name,character_score,release_score,rating_score,total_score
1,0,4043665651,Isle of Dogs,animal,2.000000,5.000000,1.600000,8.6
1,1,906863827,Ferdinand,animal,2.000000,5.000000,1.340000,8.34
1,2,3195628081,Peter Rabbit,animal,2.000000,5.000000,1.320000,8.32
1,3,5830189854,Benji,animal,2.000000,5.000000,1.280000,8.28
1,4,2038104917,My Little Pony: The Movie,animal,2.000000,5.000000,1.220000,8.22
1,5,1064930444,The Nut Job 2: Nutty by Nature,animal,2.000000,5.000000,1.080000,8.08
1,6,3493741119,Show Dogs,animal,2.000000,5.000000,0.700000,7.7
1,7,5586056082,Surviving the Wild,animal,1.000000,5.000000,1.240000,7.24
1,8,3562742415,Early Man,animal,1.000000,5.000000,1.220000,7.22
1,0,5788135152,Batman Ninja,superhero-star war,2.000000,5.000000,1.140000,8.14
1,1,906668270,The Amazing Spider-Man 2,superhero-star war,2.000000,2.000000,1.320000,5.32
1,2,1064822848,The Incredibles,superhero-star war,2.000000,1.000000,1.600000,4.6
1,3,916196624,Batman: Mask of the Phantasm,superhero-star war,2.000000,1.000000,1.580000,4.58
1,4,916674873,Superman,superhero-star war,2.000000,1.000000,1.460000,4.46
1,5,1643935809,Megamind,superhero-star war,2.000000,1.000000,1.460000,4.46
1,6,1064822834,Spider-Man 2,superhero-star war,2.000000,1.000000,1.460000,4.46
1,7,4143100030,Spider-Man,superhero-star war,2.000000,1.000000,1.460000,4.46
1,8,904696351,Teen Titans: Trouble in Tokyo,superhero-star war,2.000000,1.000000,1.440000,4.4399999999999995
1,0,905187611,Trolls,magic and fantasy characters,2.000000,3.000000,1.300000,6.3
1,1,1065118693,The BFG,magic and fantasy characters,2.000000,3.000000,1.280000,6.28
1,2,1640811946,Strange Magic,magic and fantasy characters,2.000000,3.000000,1.160000,6.16
1,3,1499453833,Molly Moon and the Incredible Book of Hypnotism,magic and fantasy characters,2.000000,3.000000,1.080000,6.08
1,4,915073926,Harry Potter and the Deathly Hallows: Part 2,magic and fantasy characters,2.000000,2.000000,1.620000,5.62
1,5,1355188928,Kubo and the Two Strings,magic and fantasy characters,1.000000,3.000000,1.560000,5.5600000000000005
